,0
0,-0.053414187507409026
1,-0.02669159103993264
2,1.550163746281974e-05
3,1.5499156536896708e-05
4,1.549667624731188e-05
5,1.549419595825441e-05
6,1.549171566911367e-05
7,1.5489235380250488e-05
8,1.548675509105424e-05
9,1.5484274802024522e-05
10,1.5481794513050318e-05
11,1.5479314223854068e-05
12,1.547683393476884e-05
13,1.5474353645794636e-05
14,1.5471873356487365e-05
15,1.5469393067735204e-05
16,1.5466912778761e-05
17,1.5464432489675772e-05
18,1.5461952200479523e-05
19,1.5459471911505318e-05
20,1.545699162242009e-05
21,1.545451133355691e-05
22,1.545203104447168e-05
23,1.544955075516441e-05
24,1.5447070466079182e-05
25,1.5444590176993955e-05
26,1.5442109888130773e-05
27,1.54396295988235e-05
28,1.543714930996032e-05
29,1.543466902131918e-05
30,1.5432188731789864e-05
31,1.5429708442482593e-05
32,1.5427228153841455e-05
33,1.5424747864534183e-05
34,1.5422267575893045e-05
35,1.5419787286585773e-05
36,1.5417306997500546e-05
37,1.5414826708193274e-05
38,1.5412346419108047e-05
39,1.5409866130244865e-05
40,1.5407385841381682e-05
41,1.540490555207441e-05
42,1.5402425263211228e-05
43,1.5399944974348045e-05
44,1.5397464684596684e-05
45,1.5394984395733502e-05
46,1.539250410642623e-05
47,1.5390023818451226e-05
48,1.5387543528255776e-05
49,1.5385063239392593e-05
50,1.538258295052941e-05
51,1.538010266166623e-05
52,1.5377622372803046e-05
53,1.5375142083939863e-05
54,1.5372661793744413e-05
55,1.537018150532532e-05
56,1.5367701216018048e-05
57,1.5365220927154866e-05
58,1.5362740638291683e-05
59,1.536026034898441e-05
60,1.535778006012123e-05
61,1.5355299770813957e-05
62,1.5352819481950775e-05
63,1.5350339192643503e-05
64,1.534785890422441e-05
65,1.5345378614917138e-05
66,1.5342898324721688e-05
67,1.5340418036746684e-05
68,1.53379377478835e-05
69,1.533545745813214e-05
70,1.5332977170157136e-05
71,1.5330496880405775e-05
72,1.5328016591098503e-05
73,1.532553630223532e-05
74,1.5323056013816228e-05
75,1.5320575724508956e-05
76,1.5318095435201684e-05
77,1.531561514678259e-05
78,1.531313485703123e-05
79,1.5310654568168047e-05
80,1.5308174278416686e-05
81,1.5305693988665325e-05
82,1.5303213699802143e-05
83,1.530073341182714e-05
84,1.5298253122963956e-05
85,1.5295772833212595e-05
86,1.5293292543461234e-05
87,1.529081225548623e-05
88,1.5288331967511226e-05
89,1.5285851676871687e-05
90,1.5283371387120326e-05
91,1.5280891098257143e-05
92,1.527841080939396e-05
93,1.5275930521418957e-05
94,1.5273450231667596e-05
95,1.5270969942804413e-05
96,1.5268489653053052e-05
97,1.5266009365078048e-05
98,1.5263529075326687e-05
99,1.5261048786463505e-05
100,1.5258568497600322e-05
101,1.525608820873714e-05
102,1.5253607918985779e-05
103,1.5251127630122596e-05
104,1.5248647341259414e-05
105,1.524616705328441e-05
106,1.524368676264487e-05
107,1.5241206473781688e-05
108,1.5238726184918505e-05
109,1.5236245895167144e-05
110,1.523376560719214e-05
111,1.523128531744078e-05
112,1.5228805029465775e-05
113,1.5226324739714414e-05
114,1.5223844449074875e-05
115,1.5221364159323514e-05
116,1.5218883872236688e-05
117,1.5216403584261684e-05
118,1.5213923294510323e-05
119,1.5211443003870784e-05
120,1.5208962716783958e-05
121,1.5206482426144419e-05
122,1.5204002137281236e-05
123,1.5201521851082589e-05
124,1.5199041561331228e-05
125,1.5196561270691689e-05
126,1.5194080981828506e-05
127,1.5191600693853502e-05
128,1.5189120403213963e-05
129,1.5186640117015315e-05
130,1.5184159825487598e-05
131,1.5181679536624415e-05
132,1.517919924953759e-05
133,1.517671895889805e-05
134,1.5174238669146689e-05
135,1.5171758379395328e-05
136,1.5169278093196681e-05
137,1.516679780344532e-05
138,1.516431751280578e-05
139,1.5161837223942598e-05
140,1.5159356935967594e-05
141,1.5156876646216233e-05
142,1.5154396358241229e-05
143,1.5151916069378046e-05
144,1.514943577696215e-05
145,1.514695549253986e-05
146,1.514447520190032e-05
147,1.5141994913037138e-05
148,1.5139514622397598e-05
149,1.5137034332646238e-05
150,1.5134554042894877e-05
151,1.5132073755808051e-05
152,1.5129593465168512e-05
153,1.5127113177193507e-05
154,1.5124632890106682e-05
155,1.5122152598578964e-05
156,1.5119672308827603e-05
157,1.5117192024405313e-05
158,1.5114711731101238e-05
159,1.5112231443126234e-05
160,1.5109751153374873e-05
161,1.5107270863623512e-05
162,1.5104790575648508e-05
163,1.5102310287673504e-05
164,1.5099829996145786e-05
165,1.5097349709947139e-05
166,1.5094869420195778e-05
167,1.5092389130444417e-05
168,1.5089908842469413e-05
169,1.5087428552718052e-05
170,1.5084948262966691e-05
171,1.5082467976768044e-05
172,1.5079987687016683e-05
173,1.5077507395488965e-05
174,1.507502710751396e-05
175,1.5072546819538957e-05
176,1.5070066529787596e-05
177,1.5067586240036235e-05
178,1.5065105953837588e-05
179,1.506262566230987e-05
180,1.5060145370782152e-05
181,1.5057665084583505e-05
182,1.5055184794832144e-05
