,0
0,-0.03484514563926096
1,-0.01739368343469875
2,2.8882626290832603e-05
3,2.887206390279895e-05
4,2.8861501418481206e-05
5,2.885093893367774e-05
6,2.884037644906856e-05
7,2.882981396423734e-05
8,2.881925147957265e-05
9,2.8808688994796938e-05
10,2.8798126509910205e-05
11,2.8787564025689605e-05
12,2.8777001540636338e-05
13,2.8766439055749604e-05
14,2.8755876571473493e-05
15,2.8745314086031648e-05
16,2.8734751602033093e-05
17,2.8724189117035337e-05
18,2.8713626632259626e-05
19,2.870306414770596e-05
20,2.8692501662930248e-05
21,2.8681939177710447e-05
22,2.8671376693822914e-05
23,2.866081420849209e-05
24,2.8650251724049447e-05
25,2.8639689239273736e-05
26,2.8629126754164957e-05
27,2.861856427005538e-05
28,2.8608001785057624e-05
29,2.8597439299837824e-05
30,2.8586876816172335e-05
31,2.8576314330619468e-05
32,2.8565751846176823e-05
33,2.8555189361068045e-05
34,2.8544626876847445e-05
35,2.853406439284889e-05
36,2.8523501907073978e-05
37,2.8512939422187245e-05
38,2.850237693730051e-05
39,2.849181445307991e-05
40,2.8481251968415222e-05
41,2.8470689483306444e-05
42,2.8460126999529933e-05
43,2.8449564513532977e-05
44,2.8439002029756466e-05
45,2.8428439544425643e-05
46,2.8417877060871177e-05
47,2.840731457443013e-05
48,2.8396752090875665e-05
49,2.8386189605766887e-05
50,2.8375627121102198e-05
51,2.8365064636659554e-05
52,2.835450215177282e-05
53,2.8343939666664042e-05
54,2.8333377181555264e-05
55,2.832281469755671e-05
56,2.831225221289202e-05
57,2.8301689728893464e-05
58,2.8291127241786285e-05
59,2.8280564758009774e-05
60,2.8270002273345085e-05
61,2.8259439789568574e-05
62,2.8248877304459796e-05
63,2.823831481890693e-05
64,2.822775233335406e-05
65,2.821718985002164e-05
66,2.820662736535695e-05
67,2.8196064879804084e-05
68,2.8185502394695305e-05
69,2.8174939910474706e-05
70,2.8164377427142284e-05
71,2.8153814941589417e-05
72,2.8143252456924728e-05
73,2.813268997181595e-05
74,2.812212748670717e-05
75,2.811156500293066e-05
76,2.8101002516933704e-05
77,2.8090440034045372e-05
78,2.8079877548048415e-05
79,2.8069315063383726e-05
80,2.8058752579163126e-05
81,2.8048190095386616e-05
82,2.803762760938966e-05
83,2.8027065122948613e-05
84,2.801650264050437e-05
85,2.8005940154507414e-05
86,2.7995377670730903e-05
87,2.7984815186954393e-05
88,2.79742526982929e-05
89,2.7963690215848658e-05
90,2.7953127732072147e-05
91,2.794256524696337e-05
92,2.7932002760966412e-05
93,2.7921440276745813e-05
94,2.7910877791192945e-05
95,2.7900315308748702e-05
96,2.7889752823639924e-05
97,2.7879190338087056e-05
98,2.78686278520901e-05
