,0
0,1.0975544308997597e-16
1,-0.06727252348265338
2,-0.13009413821404872
3,-0.18856892846957235
4,-0.24280097852455612
5,-0.29289437265437845
6,-0.33895319513436895
7,-0.38108153023989916
8,-0.4193834622463754
9,-0.45396307542913034
10,-0.48492445406348667
11,-0.5123716824248654
12,-0.5364088447885911
13,-0.5571400254299979
14,-0.5746693086244946
15,-0.5891007786473831
16,-0.6005385197741131
17,-0.6090866162799702
18,-0.6148491524403691
19,-0.617930212530638
20,-0.6184338808261356
21,-0.6164642416021646
22,-0.6121253791342025
23,-0.6055213776975337
24,-0.5967563215675382
25,-0.5859342950196368
26,-0.5731593823291132
27,-0.5585356677713039
28,-0.5421672356215159
29,-0.5241581701553357
30,-0.5046125556479906
31,-0.4836344763748009
32,-0.46132801661114
33,-0.43779726063249835
34,-0.4131462927139914
35,-0.3874791971311554
36,-0.3609000581592739
37,-0.3335129600737716
38,-0.30542198715013874
39,-0.2767312236634901
40,-0.2475447538892176
41,-0.21796666210271526
42,-0.18810103257949198
43,-0.15805194959471347
44,-0.12792349742376924
45,-0.09781976034216022
46,-0.06784482262503896
47,-0.03810276854782693
48,-0.008697682386111738
49,0.020266351585053854
50,0.048685249090063026
51,0.07645492585380567
52,0.10347129760075766
53,0.12963028005560487
54,0.15482778894280846
55,0.1789597399874456
56,0.20192204891368995
57,0.22361063144650295
58,0.24392140331036855
59,0.2627502802298855
60,0.279993177929838
61,0.2955460121348188
62,0.3093046985693051
63,0.32116515295820197
64,0.3310232910258902
65,0.33877502849734126
66,0.3443162810967454
67,0.34754296454914657
68,0.34835099457910784
69,0.34663628691101805
70,0.34229475726979897
71,0.33522232137987484
72,0.32531489496618415
73,0.31246839375289664
74,0.29657873346515046
75,0.2775418298273681
76,0.25525359856403096
77,0.22960995540011214
78,0.20050681605981496
79,0.16784009626842744
80,0.13150571174993964
81,0.09139957822932371
82,0.04741761143109585
83,-0.000544272920035227
84,-0.0525901590994623
85,-0.10882413138247315
86,-0.16935027404453684
87,-0.2342726713610216
88,-0.30369540760699365
89,-0.3777225670582969
90,-0.4564897225996596
91,-0.5399160048571231
92,-0.6265824462747811
93,-0.7147276825990471
94,-0.8025903495759364
95,-0.8884090829520795
96,-0.9704225184734887
97,-1.046869291886607
98,-1.115988038937624
99,-1.1760173953727917
100,-1.225195996938541
101,-1.2617624793809215
102,-1.28395547844636
103,-1.2900136298810612
104,-1.2781858621394813
105,-1.2467874934679424
106,-1.1942577026049497
107,-1.1191116550243128
108,-1.0198861310360001
109,-0.8951536025198676
110,-0.7434954642478642
111,-0.5637517577288534
112,-0.3562822490497042
113,-0.12364590156169208
114,0.13111318375193293
115,0.4049509059078933
116,0.6946992753684581
117,0.9966947483774186
118,1.3071498926242497
119,1.6222772757982877
120,1.9382894655888974
121,2.2513990296853117
122,2.557818535777061
123,2.8537605515534223
124,3.13543764470376
125,3.3990623829173945
126,3.6408473338837455
127,3.8570050652921752
128,4.043845436367642
129,4.198067472478885
130,4.316467490529954
131,4.395841807425144
132,4.432986740068641
133,4.424821170979734
134,4.368754245137476
135,4.262317673135948
136,4.103043165569339
137,3.888462433031685
138,3.6167634476043435
139,3.288506895228966
140,2.903900394978704
141,2.4628992338380185
142,1.9654586987913625
143,1.411534076823076
144,0.8010806549176284
145,0.13405372005940075
146,-0.5895914407671796
147,-1.3675198497772265
148,-2.1875044887944917
149,-3.0331304852940693
150,-3.886349470398742
151,-4.7287980204405935
152,-5.542112711751704
153,-6.307930120664121
154,-7.009058616381917
155,-7.6342907604276835
156,-8.179493919896462
157,-8.644692200223213
158,-9.030601520420962
159,-9.33784533630729
160,-9.567023987900594
161,-9.718738523742582
162,-9.793590929275064
163,-9.792164392039869
164,-9.714992531764882
165,-9.562597050522278
166,-9.335499650384463
167,-9.034222033423674
168,-8.659285901712169
169,-8.211212957322221
170,-7.690524902326163
171,-7.098003612837195
172,-6.435471661132748
173,-5.705011793531214
174,-4.908706756350893
175,-4.048639295910212
176,-3.127352406779085
177,-2.1497700749933877
178,-1.1234365286796306
179,-0.056435994424184344
180,1.0431473011866483
181,2.167229131566514
182,3.307725270129027
183,4.456551490287913
184,5.605623565456775
185,6.746857269049218
186,7.872168374479041
187,8.973472655159838
188,10.042685884505278
189,11.071723835929003
190,12.052502282844717
191,12.97693699866593
192,13.836943756806477
193,14.624438330679995
194,15.331336493700064
195,15.949554019280333
196,16.471006680834556
197,16.8889095042812
198,17.202401897889388
199,17.4148320117572
200,17.530275368313532
201,17.552807489987558
202,17.486399685157934
203,17.334606406001637
204,17.100877890645556
205,16.788596250773015
206,16.40092306006573
207,15.941220740293879
208,15.413161594394508
209,14.820533027206801
210,14.167135943184219
211,13.456771246780292
212,12.693239842448428
213,11.880342634642087
214,11.02188052781475
215,10.121654426419864
216,9.183465234910896
217,8.211113857741454
218,7.208401199364614
219,6.179128164234259
220,5.127095656803693
221,4.0561045815263075
222,2.969955842855624
223,1.8724503452451327
224,0.7670938875830391
225,-0.3440011665415472
226,-1.4598696112601122
227,-2.5795866094903985
228,-3.7015367471409233
229,-4.823931965867606
230,-5.944819443587894
231,-7.061587303264524
232,-8.171458904122167
233,-9.271657605384817
234,-10.35940676627701
235,-11.431929746023098
236,-12.48644990384724
237,-13.520190598973858
238,-14.530375190627442
239,-15.514227038032102
240,-16.468969500412328
241,-17.391825936992348
242,-18.28001970699655
243,-19.13077416964927
244,-19.941312684174893
245,-20.708858609797673
246,-21.430635305741923
247,-22.10386613123205
248,-22.725774445492362
249,-23.293583607747237
250,-23.804516977220995
251,-24.25579791313797
252,-24.644649774722346
253,-24.968295921198777
254,-25.223959711791295
255,-25.408864505724374
256,-25.521047371925178
257,-25.561367546345913
258,-25.529754567964694
259,-25.425642015476164
260,-25.248396311630856
261,-24.99747555361435
262,-24.67296507181127
263,-24.275629343336142
264,-23.806371815892483
265,-23.266095937183323
266,-22.65570515491214
267,-21.97610291678242
268,-21.22819267049733
269,-20.41287786376035
270,-19.531061944274704
271,-18.583648359743883
272,-17.571540557871092
273,-16.4956419863597
274,-15.356856092913276
275,-14.156086325234826
276,-12.894236131027993
277,-11.572208957995926
278,-10.190908253842078
279,-8.751237466269776
280,-7.254100042982381
281,-5.700399431683223
282,-4.091039080075628
283,-2.4269224358629664
284,-0.7094487082674998
285,1.0574179934280643
286,2.8659949577568113
287,4.704435920361826
288,6.559999192160058
289,8.41994308406832
290,10.271525907003383
291,12.102005971882223
292,13.898641589621677
293,15.648691071138735
294,17.339412727350023
295,18.958064869172613
296,20.491905807523317
297,21.928193853319037
298,23.254187317476582
299,24.45714451091287
300,25.524323744544674
301,26.442983329289007
302,27.20038157606264
303,27.783776795782437
304,28.18042729936537
305,28.377594764947837
306,28.36280228919518
307,28.124623817735035
308,27.6564616176208
309,26.969114363022857
310,26.077379035919204
311,24.99596278543809
312,23.73957276070799
313,22.32291611085725
314,20.760699985014156
315,19.067631532307225
316,17.258417901864654
317,15.34776624281491
318,13.350383704286436
319,11.28097743540742
320,9.154254585306326
321,6.984929287909242
322,4.787691715492244
323,2.577031421764932
324,0.36738605959609494
325,-1.8268067181454004
326,-3.9891147295136626
327,-6.09887190342884
328,-8.148394548432732
329,-10.133743200242117
330,-12.049378829678346
331,-13.883364147981146
332,-15.624668319526949
333,-17.272069239563123
334,-18.82598945634087
335,-20.2866361768543
336,-21.654216608097663
337,-22.928937957064978
338,-24.111007430750576
339,-25.20063223614848
340,-26.19116854431168
341,-27.05008878078695
342,-27.74554392733794
343,-28.25299736047235
344,-28.549380241433
345,-28.611584187603118
346,-28.416082089406608
347,-27.939373081701405
348,-27.15799253203255
349,-26.052461851557695
350,-24.619148523344972
351,-22.862573361972593
352,-20.80539787170727
353,-18.474843254872717
354,-15.898130713792678
355,-13.102481450790997
356,-10.115116668191353
357,-6.962910879166451
358,-3.671351840285107
359,-0.26684601459774626
360,3.213508462460876
361,6.708827700406863
362,10.152597718902381
363,13.478304537609505
364,16.619434176190357
365,19.509472654307068
366,22.081905991621806
367,24.270220207796505
368,26.007901322493467
369,27.22843535537467
370,27.86965048834116
371,27.902054994178897
372,27.361517688382026
373,26.29830927936883
374,24.762473088305725
375,22.804052436359516
376,20.47309064469684
377,17.81963103448406
378,14.893716926888061
379,11.745391643075315
380,8.424698504212541
381,4.981680831466322
382,1.466381946003203
383,-2.071038478952678
384,-5.578386800949396
385,-8.997227880136352
386,-12.268154410272198
387,-15.330154276497534
388,-18.1151997348724
389,-20.558811918032266
390,-22.617723093995437
391,-24.256044070858884
392,-25.453961981136665
393,-26.224832911520267
394,-26.589786248186847
395,-26.569906538236026
396,-26.185611735236172
397,-25.45532600480331
398,-24.396986275334797
399,-23.029956689433075
400,-21.379240680333808
401,-19.472741734299365
402,-17.345298185667975
403,-15.033499472343701
404,-12.573935032230521
405,-10.003194303232346
406,-7.3577612120913045
407,-4.672946408928539
408,-1.9801903284088755
409,0.6938294867193484
410,3.327085487496685
411,5.898522679311018
412,8.387086067550383
413,10.77172065760279
414,13.031371454856233
415,15.144983464698653
416,17.09150169251805
417,18.84987114370245
418,20.399036823639854
419,21.7179437377181
420,22.785536891325364
421,23.58076128984952
422,24.082561938678662
423,24.26988384320066
424,24.121861291631678
425,23.618364579869677
426,22.739368792117553
427,21.47355657249716
428,19.84703568278041
429,17.90468410209144
430,15.6938901930047
431,13.26204231809473
432,10.65652883993608
433,7.924738121103347
434,5.11405852417106
435,2.271878411713777
436,-0.5544138536939816
437,-3.317429909477621
438,-5.969781393062654
439,-8.466687434410462
440,-10.776730226814506
441,-12.884182073221004
442,-14.782684853850268
443,-16.471372719789724
444,-17.950415328752143
445,-19.219982338450308
446,-20.279535754799355
447,-21.125706976523148
448,-21.75441975054811
449,-22.161597823800324
450,-22.34316494320618
451,-22.2956916278014
452,-22.01842287010505
453,-21.51163501710004
454,-20.777757323041534
455,-19.827788485687606
456,-18.68218658595127
457,-17.37905101536356
458,-15.960683246312104
459,-14.470367248704399
460,-12.955316982526638
461,-11.461397053387522
462,-10.02043317351227
463,-8.638868605020129
464,-7.301616504119955
465,-5.989385371991699
466,-4.682883709815444
467,-3.360254591954315
468,-1.995864707683693
469,-0.5875987851120597
470,0.8596044177473319
471,2.3407590726927774
472,3.8547618803905443
473,5.408274931920988
474,6.986109924596908
475,8.566740431814742
476,10.128640026971075
477,11.650282283462477
478,13.110140774685364
479,14.48668907403634
480,15.758400754911953
481,16.90516946421738
482,17.915498534897623
483,18.791028941426983
484,19.53633105028465
485,20.155975227949863
486,20.65453184090191
487,21.036571255620068
488,21.30691563817239
489,21.474840523679962
490,21.55517497433698
491,21.532305289576506
492,21.382306364575918
493,21.081295982275098
494,20.6057410220111
495,19.933504748709527
496,19.04279952369331
497,17.911837708285262
498,16.51883166380822
499,14.84112503264759
500,12.853953525744851
501,10.550025158716304
502,7.974907877049299
503,5.187042872622522
504,2.2448713373149243
505,-0.7931655369948043
506,-3.8686265584279855
507,-6.923070535105733
508,-9.898056275149278
509,-12.732260687304905
510,-15.351399530229788
511,-17.670063700472852
512,-19.5964600830928
513,-21.06747712025475
514,-22.068434824217082
515,-22.59519751751396
516,-22.648264434259314
517,-22.25023717879283
518,-21.438200953926007
519,-20.251625619906225
520,-18.729981036980888
521,-16.912737065397458
522,-14.839363565403383
523,-12.549330397246043
524,-10.08210742117283
525,-7.477164497431302
526,-4.7694193235435645
527,-1.9783633485284469
528,0.8681727332886542
529,3.7325286313996724
530,6.575282256850166
531,9.353025698264837
532,12.006407754586421
533,14.477108250730113
534,16.726874405183462
535,18.725843269577027
536,20.457643834540097
537,21.90927807545152
538,23.067747967690373
539,23.920055486635317
540,24.453202607665617
541,24.654191306160016
542,24.509756330776938
543,24.004569666312932
544,23.127903542496156
545,21.9034079303559
546,20.363575700492426
547,18.540899723505316
548,16.46787286999449
549,14.176988010559853
550,11.700738015801104
551,9.071615756318252
552,6.322114102711094
553,3.4847259255793954
554,0.5919440955231643
555,-2.323738516857862
556,-5.22982904096385
557,-8.093834606194896
558,-10.883262341951028
559,-13.565619377632581
560,-16.10841284263966
561,-18.479149866372452
562,-20.645337578230976
563,-22.574483107615563
564,-24.234093583926214
565,-25.591676136563123
566,-26.614737894926378
567,-27.270785988416286
568,-27.53393304093503
569,-27.40480965371976
570,-26.894303203611422
571,-26.02648673203356
572,-24.82878268449693
573,-23.328720590362675
574,-21.55417619410114
575,-19.533111793960032
576,-17.29348968818732
577,-14.863272175030803
578,-12.27042155273832
579,-9.542900119557542
580,-6.708670173736417
581,-3.795694013522821
582,-0.8319339371646919
583,2.1546477570904727
584,5.1360887709947
585,8.084426806300089
586,10.971699564758842
587,13.769944748123175
588,16.451200058145325
589,18.987503196577208
590,21.350985769418273
591,23.513952332151952
592,25.44982628647998
593,27.139170814548976
594,28.564384710493172
595,29.70786676844655
596,30.55201578254311
597,31.07923054691684
598,31.27235439204032
599,31.116987084292028
600,30.603086088599476
601,29.72158716044251
602,28.4634260553012
603,26.821482802375503
604,24.80343640130427
605,22.446997627683505
606,19.797954053568812
607,16.90631293461476
608,13.823136447375441
609,10.599486768405148
610,7.284628354947959
611,3.9206347870062466
612,0.544594740237196
613,-2.819151849843456
614,-6.149021331848411
615,-9.421706450765473
616,-12.61324751907279
617,-15.698681194252412
618,-18.652024523839778
619,-21.445865170732763
620,-24.052462833815923
621,-26.444077211973063
622,-28.59296800408841
623,-30.471394909045983
624,-32.05161762573002
625,-33.30589585302466
626,-34.20644017575117
627,-34.72530896843806
628,-34.83489083476408
629,-34.509258918449376
630,-33.726012148851346
631,-32.46431358107694
632,-30.709976302703424
633,-28.46441449341353
634,-25.737558694825026
635,-22.563267813805794
636,-18.99912312515026
637,-15.10743664408255
638,-10.950520385827016
639,-6.590686365608079
640,-2.090246598650033
641,2.4884868998227176
642,7.080284781786734
643,11.607713086254211
644,15.985806064895808
645,20.11916937772167
646,23.909935357268388
647,27.260236336072655
648,30.090691874750306
649,32.395870446234824
650,34.188827751538376
651,35.48261949167384
652,36.29030136765348
653,36.624929080490084
654,36.4984985385004
655,35.925361304177024
656,34.945704733170174
657,33.60837615018184
658,31.9627391659374
659,30.058157391162226
660,27.94399443658179
661,25.66961391292155
662,23.26651497216978
663,20.701588979978684
664,17.951263037714522
665,14.998814295357072
666,11.827519902885303
667,8.420657010278713
668,4.766198513620882
669,0.8709002934124932
670,-3.2396737833978406
671,-7.483510888486965
672,-11.764485953188167
673,-15.986473908834622
674,-20.053349686759486
675,-23.868988218296025
676,-27.337264434777396
677,-30.35685806533316
678,-32.81719265303217
679,-34.64859502975959
680,-35.79283513911985
681,-36.19671329137289
682,-35.85016014899557
683,-34.83549830156804
684,-33.25630434959889
685,-31.20869347160824
686,-28.760793913669946
687,-25.97227572070318
688,-22.896868312143724
689,-19.58681595105604
690,-16.093925207337257
691,-12.467392112889343
692,-8.751526732436858
693,-4.9857425145209895
694,-1.208443694968242
695,2.541965490394965
696,6.227080805742311
697,9.808498015247146
698,13.247812883083167
699,16.506621173423788
700,19.546518650442735
701,22.329101078313492
702,24.81596422120963
703,26.973041872978936
704,28.785954087533973
705,30.253575228114066
706,31.3781876302432
707,32.17267324041582
708,32.6526689793241
709,32.83381176765996
710,32.73168113438584
711,32.36175325467913
712,31.740059254027862
713,30.883186429082905
714,29.80782956600256
715,28.530683450945197
716,27.06844287006907
717,25.437802609532614
718,23.655457455494034
719,21.73810219411168
720,19.702431611544
721,17.565140493949173
722,15.34292362748565
723,13.052475798311677
724,10.710491792585586
725,8.333666396465741
726,5.938694396110405
727,3.5422705776779804
728,1.161089727326825
729,-1.188153368784869
730,-3.4887639244987287
731,-5.724047153656377
732,-7.8773082700994905
733,-9.931852487669865
734,-11.87098502020897
735,-13.679509278517518
736,-15.34895480742881
737,-16.87578777305669
