DateTime,Temperature,HighestTemp,Energy
2019/7/1,28.2739247311827,33.9,78120.2399193548
2019/8/1,27.6217069892474,33.3,76954.3709677419
2019/9/1,25.0353125,32.2,73507.2416666667
2019/10/1,22.7340389784948,32,68743.5396505376
2019/11/1,19.4030208333333,27,69496.29375
2019/12/1,16.3970766129033,25.8,68306.4133064516
2020/1/1,14.9400537634409,24.9,67246.5050403226
2020/2/1,16.5911591355599,30,68700.1393678161
2020/3/1,18.383064516129,29,69295.3282930108
2020/4/1,18.0708333333333,28,68414.7541666667
2020/5/1,24.8911290322581,33,69532.685483871
2020/6/1,27.7842010771993,34,72564.0355475763
