month,w1,w2,w3,w4,max,total
1,83559.4488174237,0,874.4102511890544,0,83563.281058646
2,83559.4488174237,0,874.4102511890544,0,83763.88989619199
3,83559.4488174237,0,874.4102511890544,0,84072.248621568
4,80733.86226740966,0,0,0,85617.691326144
5,80702.77501992969,0,0,0,80386.790025408
6,80702.77501992969,0,0,0,79437.432386844
7,80702.77501992969,0,0,0,80181.87827628401
8,80742.70798832903,0,0,0,83564.532101412
9,80778.81325499975,0,0,0,81651.578950419
10,80778.81325499975,0,0,0,81067.36200252401
11,80648.9857709753,0,0,0,86069.64467415
12,80371.389966902,0,0,0,83465.242938432
13,80274.48517545297,0,0,0,81331.0
14,80274.48517545297,0,0,0,80448.0
15,78776.35168684635,0,0,0,78336.0
16,73842.27367288852,0,0,0,74304.0
17,72299.57828189824,0,0,0,72768.0
18,71204.26869740045,0,0,0,71308.0
19,71204.26869740045,0,0,0,71116.0
20,71209.53761396019,0,0,0,72729.0
21,71209.53761396019,0,0,0,72921.0
22,71209.53761396019,0,0,0,72076.0
23,71206.92493241839,0,0,0,75225.0
24,71206.92493241839,0,0,0,75456.0,388156846.41763395
month,w1,w2,w3,w4,max,total
1,83620.55045175481,0,468.1961518516545,0,83563.281058646
2,83620.55045175481,0,468.1961518516545,0,83763.88989619199
3,83620.55045175481,0,468.1961518516545,0,84072.248621568
4,83342.87249428648,0,0,0,85617.691326144
5,80845.46315332949,0,0,0,80386.790025408
6,80845.46315332949,0,0,0,79437.432386844
7,80845.46315332949,0,0,0,80181.87827628401
8,83616.57676397152,0,0,0,83564.532101412
9,81208.975856487,0,0,0,81651.578950419
10,81208.975856487,0,0,0,81067.36200252401
11,82205.16824186123,0,0,0,86069.64467415
12,81685.30806992535,0,0,0,83465.242938432
13,81140.8369058667,0,0,0,81331.0
14,81140.8369058667,0,0,0,80448.0
15,78136.79783449735,0,0,450.7118081169497,78336.0
16,74650.11441638433,0,0,0,74304.0
17,72952.81072833537,0,0,0,72768.0
18,71261.943539508,0,0,0,71308.0
19,71261.943539508,0,0,0,71116.0
20,72615.49338583804,0,0,0,72729.0
21,72615.49338583804,0,0,0,72921.0
22,72615.49338583804,0,0,0,72076.0
23,74273.12717317515,0,0,0,75225.0
24,74273.12717317515,0,0,0,75456.0,391791195.7501363
month,w1,w2,w3,w4,max,total
1,83485.49582062726,0,0,593.7118353863887,83563.281058646
2,83485.49582062726,0,0,593.7118353863887,83763.88989619199
3,83485.49582062726,0,0,593.7118353863887,84072.248621568
4,83218.72371610944,0,0,0,85617.691326144
5,81001.56989926059,0,0,0,80386.790025408
6,81001.56989926059,0,0,0,79437.432386844
7,81001.56989926059,0,0,0,80181.87827628401
8,83630.49474758592,0,0,0,83564.532101412
9,81803.73258665338,0,0,0,81651.578950419
10,81803.73258665338,0,0,0,81067.36200252401
11,83492.87820013033,0,0,0,86069.64467415
12,83281.87210523238,0,0,0,83465.242938432
13,80764.45677866059,0,0,479.86145898416885,81331.0
14,80764.45677866059,0,0,479.86145898416885,80448.0
15,78256.89235990375,0,0,0,78336.0
16,74366.51610465455,0,0,0,74304.0
17,72896.61254319703,0,0,0,72768.0
18,71626.5147444072,0,0,0,71308.0
19,71626.5147444072,0,0,0,71116.0
20,72823.46112576545,0,127.89009997076955,0,72729.0
21,72823.46112576545,0,127.89009997076955,0,72921.0
22,72823.46112576545,0,127.89009997076955,0,72076.0
23,74775.24779388492,0,0,0,75225.0
24,74775.24779388492,0,0,0,75456.0,391996137.2468986
month,w1,w2,w3,w4,max,total
1,83376.43948138037,0,493.00568645015,0,83563.281058646
2,83376.43948138037,0,493.00568645015,0,83763.88989619199
3,83376.43948138037,0,493.00568645015,0,84072.248621568
4,81253.32361248689,0,0,0,85617.691326144
5,80389.28966818373,0,0,0,80386.790025408
6,80389.28966818373,0,0,0,79437.432386844
7,80389.28966818373,0,0,0,80181.87827628401
8,82952.39331266806,0,0,16.01359366641566,83564.532101412
9,81753.1278125458,0,0,240.99797967763254,81651.578950419
10,81753.1278125458,0,0,240.99797967763254,81067.36200252401
11,82232.15219949078,0,0,0,86069.64467415
12,82807.32168563457,0,0,0,83465.242938432
13,81199.75985680935,0,0,472.1319849834825,81331.0
14,81199.75985680935,0,0,472.1319849834825,80448.0
15,78636.92147609795,0,0,0,78336.0
16,74131.31261676161,0,0,0,74304.0
17,72639.47020714852,0,0,340.32912452728635,72768.0
18,71659.5970956247,0,0,0,71308.0
19,71659.5970956247,0,0,0,71116.0
20,72694.21808600132,0,0,0,72729.0
21,72694.21808600132,0,0,0,72921.0
22,72694.21808600132,0,0,0,72076.0
23,74663.29510676968,0,0,0,75225.0
24,74663.29510676968,0,0,0,75456.0,392622336.2628513
month,w1,w2,w3,w4,max,total
1,83631.60152580541,0,0,0,83563.281058646
2,83631.60152580541,0,0,0,83763.88989619199
3,83631.60152580541,0,0,0,84072.248621568
4,82858.5104361994,0,0,0,85617.691326144
5,80329.95964161807,0,0,0,80386.790025408
6,80329.95964161807,0,0,0,79437.432386844
7,80329.95964161807,0,0,0,80181.87827628401
8,83609.92179976037,0,0,64.35555458317735,83564.532101412
9,81691.66058296018,0,0,0,81651.578950419
10,81691.66058296018,0,0,0,81067.36200252401
11,82653.45813566676,0,0,0,86069.64467415
12,83425.01221138169,0,0,0,83465.242938432
13,81360.9124274186,0,0,0,81331.0
14,81360.9124274186,0,0,0,80448.0
15,78411.10807154328,0,0,0,78336.0
16,74354.15651804264,0,0,110.48448533959144,74304.0
17,72885.10597894408,0,0,296.93267647072884,72768.0
