Month,Power,TRUE,Pi
7,80264.39844,78120.23992,1.027446866
8,80126.25781,76954.37097,1.041217804
9,78889.89844,73507.24167,1.073226213
10,79210.58594,68743.53965,1.152262211
11,76772.53906,69496.29375,1.104699731
12,76093.64844,68306.41331,1.114004493
1,75819.10156,67246.50504,1.127480149
2,78935.42969,68700.13937,1.148985028
3,77591.82031,69295.32829,1.119726539
4,76949.38281,68414.75417,1.124748349
5,79556.71094,69532.68548,1.144162774
6,80266.32031,72564.03555,1.106144547
